0 length 5759;
0 note 72 101;
0 note 77 101;
0 note 75 100;
141 note 72 0;
145 note 77 0;
153 note 75 0;
328 note 67 100;
335 note 60 100;
341 note 63 100;
542 note 60 0;
543 note 67 0;
550 note 63 0;
721 note 72 100;
722 note 75 100;
725 note 77 100;
856 note 77 0;
864 note 72 0;
869 note 75 0;
957 note 65 100;
958 note 60 100;
962 note 63 100;
1281 note 63 0;
1282 note 65 0;
1285 note 60 0;
1423 note 72 100;
1426 note 77 100;
1427 note 75 100;
1570 note 77 0;
1575 note 72 0;
1583 note 75 0;
1783 note 67 100;
1793 note 63 100;
1797 note 60 100;
1991 note 60 0;
1991 note 67 0;
1992 note 63 0;
2162 note 72 100;
2178 note 75 100;
2181 note 77 100;
2360 note 72 0;
2369 note 75 0;
2369 note 77 0;
2408 note 60 100;
2409 note 65 100;
2411 note 63 100;
2710 note 60 0;
2715 note 63 0;
2716 note 65 0;
2841 note 72 100;
2848 note 75 100;
2848 note 77 100;
2967 note 77 0;
2975 note 75 0;
2978 note 72 0;
3238 note 60 100;
3239 note 67 100;
3241 note 63 100;
3377 note 60 0;
3378 note 67 0;
3382 note 63 0;
3659 note 72 100;
3661 note 77 100;
3665 note 75 100;
3777 note 77 0;
3780 note 75 0;
3783 note 72 0;
3902 note 60 100;
3905 note 65 100;
3910 note 63 100;
4151 note 60 0;
4156 note 63 0;
4157 note 65 0;
4306 note 72 100;
4310 note 77 100;
4312 note 75 100;
4453 note 77 0;
4458 note 72 0;
4463 note 75 0;
4584 note 60 100;
4586 note 67 100;
4587 note 63 100;
4697 note 60 0;
4699 note 67 0;
4704 note 63 0;
4877 note 72 100;
4884 note 77 100;
4885 note 75 100;
4910 note 72 0;
4911 note 75 0;
4914 note 77 0;
