0 length 15452;
0 note 72 100;
68 note 72 0;
175 note 70 100;
263 note 70 0;
362 note 72 100;
471 note 72 0;
548 note 75 100;
645 note 75 0;
739 note 72 100;
818 note 72 0;
906 note 70 100;
986 note 70 0;
1083 note 67 100;
1167 note 67 0;
1258 note 66 100;
1344 note 66 0;
1442 note 67 100;
1524 note 67 0;
1620 note 65 100;
1717 note 65 0;
1805 note 64 100;
1889 note 64 0;
1979 note 63 100;
2072 note 63 0;
2160 note 64 100;
2248 note 64 0;
2329 note 60 100;
2413 note 60 0;
2503 note 63 100;
2596 note 63 0;
2695 note 64 100;
2773 note 64 0;
2874 note 60 100;
2968 note 60 0;
3052 note 66 100;
3125 note 66 0;
3223 note 60 100;
3324 note 60 0;
3400 note 67 100;
3505 note 67 0;
3602 note 63 100;
3691 note 63 0;
3782 note 61 100;
3864 note 61 0;
3942 note 70 100;
4038 note 70 0;
4112 note 66 100;
4242 note 66 0;
4307 note 67 100;
4406 note 67 0;
4479 note 63 100;
4583 note 63 0;
4665 note 62 100;
4771 note 62 0;
4831 note 69 100;
4956 note 69 0;
5015 note 67 100;
5141 note 67 0;
5209 note 66 100;
5324 note 66 0;
5493 note 67 100;
5558 note 67 0;
5672 note 70 100;
5714 note 70 0;
5797 note 71 100;
5878 note 71 0;
6011 note 72 100;
6096 note 72 0;
6098 note 67 100;
6201 note 67 0;
6275 note 70 100;
6400 note 70 0;
6475 note 71 100;
6585 note 71 0;
6661 note 74 100;
6777 note 74 0;
6848 note 70 100;
6954 note 70 0;
7017 note 71 100;
7118 note 71 0;
7199 note 73 100;
7330 note 73 0;
7388 note 76 100;
7508 note 76 0;
7575 note 74 100;
7695 note 74 0;
7751 note 72 100;
7879 note 72 0;
7930 note 77 100;
8061 note 77 0;
8101 note 76 100;
8246 note 76 0;
8283 note 75 100;
8429 note 75 0;
8456 note 78 100;
8625 note 78 0;
8635 note 77 100;
8797 note 77 0;
8812 note 76 100;
8976 note 76 0;
9004 note 80 100;
9168 note 80 0;
9183 note 75 100;
9361 note 81 100;
9361 note 75 0;
9534 note 74 100;
9541 note 81 0;
9713 note 74 0;
9713 note 80 100;
9893 note 80 0;
9896 note 73 100;
10067 note 73 0;
10073 note 79 100;
10250 note 72 100;
10259 note 79 0;
10443 note 78 100;
10447 note 72 0;
10621 note 78 0;
10622 note 71 100;
10805 note 71 0;
10806 note 77 100;
10979 note 70 100;
10984 note 77 0;
11145 note 76 100;
11152 note 70 0;
11334 note 69 100;
11338 note 76 0;
11528 note 75 100;
11538 note 69 0;
11700 note 68 100;
11704 note 75 0;
11866 note 74 100;
11872 note 68 0;
12040 note 67 100;
12048 note 74 0;
12233 note 73 100;
12242 note 67 0;
12427 note 66 100;
12431 note 73 0;
12591 note 72 100;
12594 note 66 0;
12776 note 65 100;
12785 note 72 0;
12958 note 70 100;
12960 note 65 0;
13133 note 64 100;
13150 note 70 0;
13314 note 72 100;
13325 note 64 0;
13504 note 63 100;
13508 note 72 0;
13675 note 71 100;
13679 note 63 0;
13859 note 62 100;
13859 note 71 0;
14033 note 70 100;
14042 note 62 0;
14217 note 61 100;
14219 note 70 0;
14390 note 61 0;
14391 note 69 100;
14556 note 69 0;
14559 note 60 100;
14684 note 60 0;
