0 length 2865;
0 note 72 100;
95 note 72 0;
347 note 67 100;
399 note 67 0;
532 note 72 100;
574 note 72 0;
715 note 72 100;
836 note 72 0;
1072 note 67 100;
1125 note 67 0;
1436 note 72 100;
1535 note 72 0;
1787 note 67 100;
1787 note 64 100;
1792 note 64 0;
1798 note 64 100;
1802 note 64 0;
1840 note 67 0;
1973 note 72 100;
1995 note 72 0;
2145 note 72 100;
2180 note 72 0;
2330 note 72 100;
2362 note 72 0;
2492 note 67 100;
2499 note 67 0;
2501 note 67 100;
2534 note 67 0;
2587 note 72 100;
2620 note 72 0;
