0 length 24485;
0 note 60 100;
76 note 60 0;
1647 note 72 100;
1687 note 72 0;
1734 note 75 100;
1777 note 75 0;
3805 note 79 100;
3844 note 79 0;
3976 note 82 100;
4024 note 82 0;
4065 note 80 100;
4101 note 80 0;
5608 note 80 100;
5705 note 80 0;
5714 note 79 100;
5746 note 79 0;
7044 note 79 100;
7124 note 79 0;
7143 note 77 100;
7202 note 77 0;
8134 note 75 100;
8193 note 75 0;
8236 note 76 100;
8303 note 76 0;
8403 note 72 100;
8453 note 72 0;
8586 note 65 100;
8623 note 65 0;
8661 note 70 100;
8758 note 70 0;
9591 note 72 100;
9652 note 72 0;
9692 note 67 100;
9736 note 67 0;
9748 note 75 100;
9819 note 74 100;
9826 note 75 0;
9877 note 74 0;
9909 note 65 100;
9972 note 65 0;
10110 note 72 100;
10192 note 72 0;
11008 note 60 100;
11062 note 60 0;
11734 note 60 100;
11776 note 60 0;
12006 note 60 100;
12051 note 60 0;
12738 note 67 100;
12776 note 67 0;
12815 note 63 100;
12866 note 63 0;
12992 note 70 100;
13145 note 70 0;
13250 note 70 100;
13315 note 70 0;
13496 note 70 100;
13548 note 70 0;
15313 note 60 100;
15365 note 60 0;
15492 note 77 100;
15560 note 77 0;
15579 note 75 100;
15660 note 72 100;
15673 note 75 0;
15729 note 72 0;
15869 note 77 100;
15958 note 77 0;
16146 note 75 100;
16210 note 75 0;
16399 note 72 100;
16459 note 72 0;
17117 note 67 100;
17159 note 67 0;
17300 note 67 100;
17343 note 67 0;
17589 note 67 100;
17614 note 67 0;
17848 note 69 100;
17879 note 69 0;
18777 note 72 100;
18807 note 72 0;
19635 note 60 100;
19688 note 60 0;
19817 note 77 100;
19897 note 77 0;
19898 note 75 100;
19977 note 72 100;
19986 note 75 0;
20029 note 72 0;
20182 note 77 100;
20237 note 77 0;
20434 note 75 100;
20481 note 75 0;
20710 note 72 100;
20764 note 72 0;
21444 note 67 100;
21481 note 67 0;
21607 note 69 100;
21650 note 69 0;
21884 note 67 100;
21935 note 67 0;
22543 note 65 100;
22574 note 65 0;
22714 note 67 100;
22759 note 67 0;
22806 note 69 100;
22865 note 69 0;
22868 note 65 100;
22920 note 65 0;
23083 note 67 100;
23129 note 67 0;
