0 length 5778;
0 note 69 101;
539 note 69 0;
608 note 72 100;
988 note 72 0;
1149 note 69 100;
1260 note 69 0;
1360 note 67 100;
2064 note 67 0;
2158 note 72 100;
2551 note 72 0;
2803 note 67 100;
2876 note 67 0;
3022 note 65 100;
3580 note 65 0;
3667 note 69 100;
4152 note 69 0;
4213 note 67 100;
4315 note 67 0;
4395 note 68 100;
4931 note 68 0;
4932 note 68 100;
4935 note 68 0;
5017 note 73 100;
5063 note 73 0;
5116 note 74 100;
5274 note 74 0;
5365 note 69 100;
5494 note 69 0;
5622 note 69 100;
5714 note 69 0;
