0 length 5731;
0 note 72 100;
56 note 72 0;
317 note 65 100;
407 note 65 0;
710 note 75 100;
806 note 75 0;
1059 note 74 100;
1154 note 74 0;
1399 note 74 100;
1498 note 74 0;
1762 note 67 100;
1907 note 67 0;
2135 note 79 100;
2290 note 79 0;
2501 note 77 100;
2653 note 77 0;
2865 note 77 100;
2981 note 77 0;
3173 note 67 100;
3364 note 67 0;
3591 note 75 100;
3728 note 75 0;
3961 note 74 100;
4144 note 74 0;
4328 note 74 100;
4467 note 74 0;
4643 note 65 100;
4843 note 65 0;
5045 note 72 100;
5216 note 72 0;
5407 note 74 100;
5567 note 74 0;
