0 length 5720;
0 note 60 101;
0 note 67 101;
0 note 72 101;
0 note 64 101;
0 note 76 101;
0 note 79 101;
296 note 79 0;
299 note 79 100;
543 note 79 0;
1210 note 67 0;
1226 note 64 0;
1230 note 76 0;
1383 note 69 100;
1404 note 81 100;
1415 note 72 0;
2072 note 81 0;
2147 note 79 100;
2223 note 60 0;
2486 note 79 0;
2492 note 77 100;
2735 note 76 100;
2747 note 77 0;
2783 note 69 0;
2843 note 76 0;
2883 note 60 100;
2903 note 76 100;
3428 note 76 0;
3549 note 72 100;
4128 note 72 0;
4254 note 67 100;
4266 note 74 100;
4467 note 60 0;
4923 note 74 0;
4937 note 67 0;
5024 note 65 100;
5026 note 69 100;
5482 note 69 0;
5609 note 65 0;
