0 length 7146;
0 note 72 100;
79 note 72 0;
348 note 74 100;
675 note 74 0;
694 note 72 100;
879 note 72 0;
881 note 74 100;
1254 note 74 0;
1274 note 72 100;
1438 note 74 100;
1446 note 72 0;
1799 note 74 0;
1816 note 72 100;
2127 note 72 0;
2153 note 74 100;
2672 note 74 0;
2858 note 74 100;
2862 note 74 0;
2864 note 74 100;
3192 note 74 0;
3216 note 75 100;
3375 note 75 0;
3386 note 74 100;
3581 note 74 0;
3597 note 75 100;
4145 note 75 0;
4171 note 74 100;
4713 note 74 0;
4718 note 75 100;
5809 note 75 0;
