0 length 5714;
0 note 63 101;
161 note 63 0;
219 note 65 100;
410 note 65 0;
464 note 67 100;
609 note 67 0;
679 note 70 100;
836 note 70 0;
943 note 72 100;
1102 note 72 0;
1197 note 75 100;
1331 note 75 0;
1405 note 72 100;
1577 note 72 0;
1683 note 70 100;
1854 note 70 0;
1928 note 67 100;
2063 note 67 0;
2130 note 65 100;
2279 note 65 0;
2382 note 63 100;
2531 note 63 0;
2636 note 60 100;
2779 note 60 0;
2854 note 65 100;
3216 note 65 0;
3563 note 65 100;
3799 note 63 100;
3831 note 65 0;
4111 note 63 0;
4255 note 65 100;
4805 note 65 0;
4978 note 67 100;
5190 note 67 0;
5253 note 67 100;
5441 note 67 0;
5531 note 67 100;
5647 note 67 0;
