0 length 5776;
0 note 60 101;
132 note 60 0;
257 note 60 100;
333 note 60 0;
845 note 65 100;
916 note 65 0;
1156 note 67 100;
1207 note 67 0;
1444 note 65 100;
1490 note 65 0;
2331 note 65 100;
2445 note 65 0;
2492 note 63 100;
2622 note 63 0;
2647 note 67 100;
2707 note 67 0;
2858 note 60 100;
3007 note 60 0;
3152 note 60 100;
3218 note 60 0;
4308 note 72 100;
4446 note 72 0;
4603 note 67 100;
4687 note 67 0;
5001 note 65 100;
5078 note 65 0;
5167 note 63 100;
5245 note 63 0;
5364 note 75 100;
5447 note 75 0;
5582 note 74 100;
5633 note 74 0;
