0 length 29983;
0 note 60 100;
120 note 60 0;
213 note 60 100;
324 note 60 0;
496 note 72 100;
560 note 72 0;
825 note 75 100;
896 note 75 0;
1096 note 72 100;
1141 note 72 0;
1379 note 74 100;
1421 note 74 0;
2268 note 72 100;
2321 note 72 0;
2364 note 67 100;
2459 note 67 0;
2480 note 74 100;
2538 note 74 0;
2560 note 65 100;
2665 note 75 100;
2671 note 65 0;
2754 note 75 0;
2796 note 63 100;
2848 note 63 0;
2878 note 72 100;
2995 note 72 0;
3018 note 74 100;
3088 note 74 0;
3104 note 72 100;
3152 note 72 0;
3215 note 60 100;
3312 note 60 0;
3829 note 72 100;
3922 note 72 0;
3949 note 67 100;
4030 note 67 0;
4044 note 75 100;
4117 note 74 100;
4127 note 75 0;
4185 note 74 0;
4229 note 65 100;
4283 note 65 0;
4305 note 75 100;
4424 note 75 0;
4444 note 72 100;
4553 note 72 0;
4825 note 75 100;
4915 note 75 0;
5088 note 72 100;
5142 note 72 0;
5178 note 67 100;
5224 note 67 0;
5250 note 77 100;
5323 note 77 0;
5382 note 67 100;
5418 note 77 100;
5452 note 67 0;
5499 note 77 0;
5565 note 67 100;
5609 note 67 0;
5611 note 77 100;
5713 note 77 0;
5728 note 75 100;
5841 note 72 100;
5852 note 75 0;
5933 note 72 0;
5944 note 60 100;
6030 note 60 0;
6622 note 77 100;
6720 note 77 0;
6803 note 67 100;
6841 note 75 100;
6849 note 67 0;
6953 note 74 100;
6961 note 75 0;
7038 note 74 0;
7199 note 72 100;
7346 note 72 0;
7456 note 67 100;
7540 note 67 0;
7772 note 65 100;
7859 note 65 0;
8023 note 63 100;
8098 note 63 0;
8101 note 72 100;
8175 note 72 0;
8223 note 67 100;
8252 note 67 0;
8282 note 72 100;
8383 note 75 100;
8385 note 72 0;
8514 note 75 0;
8533 note 77 100;
8644 note 77 0;
8708 note 62 100;
8785 note 62 0;
8946 note 60 100;
9035 note 60 0;
9482 note 60 100;
9493 note 60 0;
9588 note 63 100;
9706 note 67 100;
9754 note 63 0;
9770 note 67 0;
9774 note 72 100;
9858 note 72 0;
9872 note 77 100;
9920 note 77 0;
10096 note 77 100;
10187 note 77 0;
10321 note 60 100;
10414 note 60 0;
10631 note 60 100;
10750 note 60 0;
10883 note 72 100;
10946 note 72 0;
10961 note 60 100;
11054 note 60 0;
11056 note 72 100;
11117 note 72 0;
11171 note 60 100;
11235 note 77 100;
11244 note 60 0;
11376 note 77 0;
11442 note 60 100;
11513 note 60 0;
11514 note 79 100;
11614 note 79 0;
11658 note 67 100;
11711 note 67 0;
11723 note 72 100;
11795 note 72 0;
11833 note 67 100;
11881 note 67 0;
11927 note 77 100;
11991 note 77 0;
12035 note 63 100;
12097 note 63 0;
12117 note 75 100;
12220 note 72 100;
12227 note 75 0;
12297 note 72 0;
12301 note 67 100;
12358 note 67 0;
12398 note 72 100;
12450 note 72 0;
12483 note 67 100;
12532 note 67 0;
12604 note 72 100;
12774 note 72 0;
12774 note 75 100;
12881 note 72 100;
12889 note 75 0;
12971 note 72 0;
13000 note 67 100;
13107 note 67 0;
13121 note 75 100;
13208 note 75 0;
13257 note 63 100;
13322 note 63 0;
13336 note 72 100;
13479 note 72 0;
13484 note 74 100;
13540 note 74 0;
13543 note 67 100;
13620 note 67 0;
13629 note 77 100;
13738 note 77 0;
13858 note 75 100;
13951 note 75 0;
13981 note 67 100;
14030 note 67 0;
14094 note 75 100;
14196 note 72 100;
14202 note 75 0;
14257 note 72 0;
14304 note 67 100;
14358 note 67 0;
14408 note 74 100;
14557 note 74 0;
14573 note 72 100;
14607 note 72 0;
14656 note 67 100;
14708 note 67 0;
14759 note 72 100;
14807 note 72 0;
14837 note 63 100;
14902 note 63 0;
14949 note 75 100;
15039 note 75 0;
15082 note 60 100;
15150 note 77 100;
15153 note 60 0;
15244 note 77 0;
15266 note 79 100;
15379 note 79 0;
15458 note 60 100;
15480 note 60 0;
15516 note 79 100;
15610 note 79 0;
15637 note 60 100;
15723 note 60 0;
15743 note 77 100;
15837 note 77 0;
15846 note 67 100;
15931 note 67 0;
16032 note 75 100;
16117 note 75 0;
16282 note 72 100;
16349 note 72 0;
16695 note 60 100;
16786 note 63 100;
16871 note 67 100;
16884 note 60 0;
16885 note 72 100;
16936 note 63 0;
16967 note 67 0;
16994 note 75 100;
17011 note 72 0;
17036 note 77 100;
17078 note 75 0;
17128 note 79 100;
17136 note 77 0;
17222 note 77 100;
17245 note 79 0;
17320 note 75 100;
17359 note 77 0;
17423 note 72 100;
17441 note 75 0;
17468 note 67 100;
17498 note 72 0;
17528 note 67 0;
17549 note 75 100;
17655 note 72 100;
17663 note 75 0;
17730 note 72 0;
17775 note 67 100;
17833 note 67 0;
17886 note 72 100;
17941 note 72 0;
17986 note 67 100;
18037 note 67 0;
18088 note 70 100;
18201 note 67 100;
18201 note 70 0;
18276 note 67 0;
18308 note 65 100;
18368 note 65 0;
18406 note 70 100;
18492 note 67 100;
18502 note 70 0;
18570 note 67 0;
18608 note 63 100;
18666 note 63 0;
18717 note 66 100;
18865 note 66 0;
18974 note 67 100;
19171 note 67 0;
19244 note 68 100;
19436 note 68 0;
19503 note 69 100;
19699 note 69 0;
19774 note 70 100;
19895 note 70 0;
19956 note 71 100;
20046 note 71 0;
20166 note 73 100;
20170 note 73 0;
20297 note 72 100;
20381 note 72 0;
20416 note 66 100;
20489 note 66 0;
20590 note 72 100;
20604 note 71 100;
20626 note 71 0;
20658 note 72 0;
20783 note 73 100;
20894 note 73 0;
20920 note 74 100;
21046 note 74 0;
21084 note 66 100;
21127 note 66 0;
21162 note 75 100;
21259 note 75 0;
21288 note 76 100;
21406 note 76 0;
21555 note 75 100;
21662 note 76 100;
21666 note 75 0;
21735 note 76 0;
21765 note 66 100;
21827 note 66 0;
21883 note 77 100;
22025 note 77 0;
22072 note 66 100;
22099 note 66 0;
22197 note 78 100;
22359 note 78 0;
22366 note 79 100;
22476 note 79 0;
22489 note 66 100;
22528 note 66 0;
22530 note 66 100;
22535 note 66 0;
22582 note 78 100;
22648 note 78 0;
22656 note 79 100;
22742 note 79 0;
22766 note 66 100;
22821 note 66 0;
22841 note 80 100;
22911 note 80 0;
22912 note 81 100;
22975 note 81 0;
23012 note 66 100;
23043 note 66 0;
23083 note 80 100;
23168 note 80 0;
23173 note 81 100;
23236 note 81 0;
23274 note 66 100;
23328 note 66 0;
23345 note 82 100;
23463 note 82 0;
23515 note 66 100;
23551 note 66 0;
23571 note 82 100;
23663 note 82 0;
23723 note 66 100;
23758 note 66 0;
23765 note 79 100;
23898 note 79 0;
23969 note 79 100;
24062 note 79 0;
24112 note 79 100;
24209 note 79 0;
24289 note 79 100;
24395 note 79 0;
24467 note 79 100;
24568 note 79 0;
24579 note 75 100;
24665 note 72 100;
24704 note 75 0;
24770 note 82 100;
24810 note 72 0;
24821 note 79 100;
24852 note 82 0;
24930 note 79 0;
24936 note 75 100;
25027 note 75 0;
25043 note 79 100;
25126 note 79 0;
25157 note 75 100;
25234 note 79 100;
25249 note 75 0;
25327 note 82 100;
25340 note 79 0;
25402 note 79 100;
25420 note 82 0;
25459 note 79 0;
25468 note 75 100;
25581 note 79 100;
25611 note 75 0;
25654 note 79 0;
25684 note 72 100;
25769 note 72 0;
25780 note 79 100;
25844 note 79 0;
25884 note 70 100;
25952 note 70 0;
25955 note 82 100;
26038 note 79 100;
26057 note 82 0;
26125 note 75 100;
26143 note 79 0;
26196 note 75 0;
26232 note 79 100;
26317 note 79 0;
26361 note 72 100;
26425 note 72 0;
26431 note 79 100;
26534 note 82 100;
26548 note 79 0;
26626 note 79 100;
26641 note 82 0;
26681 note 75 100;
26682 note 79 0;
26752 note 75 0;
26793 note 79 100;
26868 note 79 0;
26905 note 75 100;
26963 note 75 0;
26974 note 79 100;
27052 note 82 100;
27066 note 79 0;
27144 note 79 100;
27161 note 82 0;
27195 note 70 100;
27214 note 79 0;
27249 note 70 0;
27307 note 79 100;
27386 note 79 0;
27494 note 79 100;
27560 note 79 0;
27597 note 70 100;
27651 note 70 0;
27689 note 75 100;
27779 note 75 0;
27793 note 72 100;
27854 note 72 0;
27896 note 70 100;
27938 note 70 0;
27957 note 75 100;
28037 note 75 0;
28092 note 68 100;
28114 note 68 0;
28142 note 72 100;
28228 note 72 0;
28267 note 68 100;
28327 note 68 0;
28330 note 73 100;
28424 note 72 100;
28439 note 73 0;
28481 note 72 0;
28530 note 67 100;
28548 note 67 0;
28602 note 70 100;
28680 note 69 100;
28709 note 70 0;
28757 note 66 100;
28763 note 69 0;
28870 note 67 100;
28890 note 66 0;
28920 note 67 0;
28940 note 68 100;
29012 note 67 100;
29040 note 68 0;
29056 note 65 100;
29086 note 67 0;
29140 note 65 0;
29173 note 66 100;
29238 note 65 100;
29264 note 66 0;
29284 note 63 100;
29289 note 65 0;
29348 note 63 0;
29374 note 64 100;
29466 note 64 0;
29532 note 63 100;
29659 note 60 100;
29668 note 63 0;
29758 note 60 0;
