0 length 17241;
5 note 82 100;
134 note 82 0;
351 note 81 100;
477 note 81 0;
702 note 79 100;
849 note 79 0;
1057 note 81 100;
1204 note 81 0;
1416 note 74 100;
1573 note 74 0;
1775 note 74 100;
1999 note 74 0;
2158 note 79 100;
2341 note 79 0;
2529 note 67 100;
2665 note 67 0;
2689 note 69 100;
2824 note 69 0;
2841 note 69 100;
2849 note 69 0;
2877 note 70 100;
3028 note 70 0;
3079 note 71 100;
3081 note 72 100;
3096 note 71 0;
3253 note 72 0;
3269 note 74 100;
4092 note 74 0;
4306 note 75 100;
4655 note 75 0;
4661 note 77 100;
4729 note 77 0;
4842 note 75 100;
4912 note 75 0;
5024 note 74 100;
5090 note 74 0;
5206 note 72 100;
5353 note 72 0;
5395 note 74 100;
5690 note 74 0;
5744 note 75 100;
5821 note 75 0;
5929 note 74 100;
5997 note 74 0;
6113 note 72 100;
6236 note 72 0;
6271 note 70 100;
6423 note 70 0;
6470 note 72 100;
6821 note 72 0;
6836 note 74 100;
6919 note 74 0;
7028 note 72 100;
7110 note 72 0;
7220 note 70 100;
7387 note 70 0;
7394 note 72 100;
7520 note 72 0;
7557 note 69 100;
8349 note 69 0;
8602 note 82 100;
8836 note 82 0;
8973 note 81 100;
9180 note 81 0;
9334 note 79 100;
9514 note 79 0;
9696 note 81 100;
9916 note 81 0;
10077 note 74 100;
10274 note 74 0;
10465 note 74 100;
10662 note 74 0;
10819 note 79 100;
11004 note 79 0;
11179 note 67 100;
11354 note 67 0;
11359 note 69 100;
11513 note 69 0;
11526 note 70 100;
11673 note 70 0;
11695 note 72 100;
11874 note 72 0;
11880 note 74 100;
12727 note 74 0;
12970 note 77 100;
13316 note 77 0;
13320 note 79 100;
13490 note 77 100;
13503 note 79 0;
13675 note 75 100;
13676 note 77 0;
13834 note 75 0;
13842 note 74 100;
14019 note 74 0;
14035 note 75 100;
14385 note 75 0;
14393 note 77 100;
14575 note 75 100;
14587 note 77 0;
14749 note 74 100;
14755 note 75 0;
14920 note 74 0;
14932 note 72 100;
15091 note 72 0;
15118 note 74 100;
15443 note 74 0;
15451 note 79 100;
15793 note 79 0;
15816 note 72 100;
16120 note 72 0;
16173 note 70 100;
17007 note 70 0;
