0 length 12805;
0 note 67 100;
97 note 67 0;
125 note 70 100;
190 note 70 0;
374 note 63 100;
586 note 63 0;
602 note 65 100;
709 note 65 0;
779 note 81 100;
932 note 81 0;
952 note 75 100;
1054 note 75 0;
1147 note 69 100;
1286 note 66 100;
1295 note 69 0;
1420 note 67 100;
1440 note 66 0;
1536 note 67 0;
1603 note 76 100;
1689 note 76 0;
2438 note 72 100;
2575 note 70 100;
2627 note 72 0;
2712 note 72 100;
2751 note 70 0;
2829 note 72 0;
2863 note 81 100;
2946 note 79 100;
2991 note 77 100;
3002 note 81 0;
3024 note 79 0;
3082 note 76 100;
3123 note 77 0;
3200 note 72 100;
3211 note 76 0;
3314 note 70 100;
3352 note 72 0;
3462 note 70 0;
4312 note 83 100;
4363 note 81 100;
4405 note 83 0;
4424 note 79 100;
4481 note 81 0;
4527 note 77 100;
4558 note 79 0;
4602 note 83 100;
4622 note 77 0;
4733 note 81 100;
4758 note 83 0;
4776 note 79 100;
4833 note 81 0;
4887 note 77 100;
4905 note 79 0;
4956 note 77 0;
6759 note 83 100;
7065 note 83 0;
7141 note 81 100;
7291 note 79 100;
7313 note 81 0;
7395 note 77 100;
7411 note 79 0;
7491 note 77 0;
7553 note 69 100;
7608 note 67 100;
7679 note 69 0;
7687 note 67 0;
7697 note 62 100;
7714 note 66 100;
7842 note 69 100;
7869 note 62 0;
7922 note 66 0;
7993 note 72 100;
7999 note 69 0;
8036 note 75 100;
8075 note 72 0;
8083 note 79 100;
8102 note 75 0;
8216 note 75 100;
8255 note 79 0;
8306 note 72 100;
8354 note 75 0;
8415 note 72 0;
9066 note 74 100;
9074 note 75 100;
9102 note 67 100;
9107 note 69 100;
9111 note 79 100;
9118 note 66 100;
9127 note 77 100;
9228 note 64 100;
9230 note 65 100;
9297 note 74 0;
9328 note 66 0;
9367 note 64 0;
9374 note 69 0;
9440 note 79 0;
9441 note 65 0;
9446 note 69 100;
9451 note 77 0;
9497 note 67 0;
9508 note 69 0;
9595 note 79 100;
9611 note 72 100;
9645 note 79 0;
9697 note 75 0;
9780 note 72 0;
10662 note 77 100;
10708 note 75 100;
10709 note 72 100;
10912 note 75 0;
10917 note 65 100;
10930 note 64 100;
10936 note 72 0;
10945 note 77 0;
11003 note 66 100;
11070 note 69 100;
11122 note 64 0;
11174 note 65 0;
11196 note 66 0;
11336 note 69 0;
11724 note 62 100;
11768 note 64 100;
11861 note 66 100;
11900 note 69 100;
11907 note 62 0;
11919 note 64 0;
11940 note 66 0;
11961 note 83 100;
11976 note 77 100;
11977 note 80 100;
12047 note 69 0;
12054 note 77 0;
12078 note 62 100;
12119 note 64 100;
12132 note 66 100;
12177 note 83 0;
12182 note 64 0;
12183 note 69 100;
12192 note 62 0;
12205 note 80 0;
12285 note 66 0;
12374 note 69 0;
12641 note 72 100;
12752 note 72 0;
