0 length 2832;
0 note 74 101;
0 note 70 101;
124 note 74 0;
127 note 70 0;
167 note 65 100;
167 note 68 100;
296 note 68 0;
299 note 65 0;
340 note 60 100;
343 note 63 100;
469 note 60 0;
470 note 63 0;
522 note 65 100;
522 note 69 100;
635 note 65 0;
638 note 69 0;
705 note 70 100;
705 note 74 100;
831 note 74 0;
834 note 70 0;
880 note 69 100;
880 note 65 100;
996 note 65 0;
998 note 69 0;
1060 note 60 100;
1062 note 63 100;
1190 note 63 0;
1192 note 60 0;
1244 note 69 100;
1244 note 65 100;
1377 note 69 0;
1380 note 65 0;
1415 note 68 100;
1416 note 65 100;
1563 note 65 0;
1566 note 68 0;
1612 note 74 100;
1614 note 70 100;
1745 note 70 0;
1745 note 74 0;
1785 note 63 100;
1788 note 67 100;
1926 note 67 0;
1931 note 63 0;
1958 note 66 100;
1960 note 63 100;
2106 note 66 0;
2107 note 63 0;
2138 note 62 100;
2139 note 65 100;
2285 note 62 0;
2289 note 65 0;
2322 note 71 100;
2322 note 67 100;
2466 note 71 0;
2467 note 67 0;
2500 note 60 100;
2502 note 63 100;
2636 note 60 0;
2637 note 63 0;
2677 note 65 100;
2678 note 69 100;
2821 note 65 0;
2823 note 69 0;
