0 length 11518;
0 note 79 100;
20 note 79 0;
95 note 77 100;
150 note 77 0;
158 note 79 100;
173 note 79 0;
366 note 74 100;
379 note 74 0;
468 note 75 100;
513 note 75 0;
515 note 74 100;
538 note 74 0;
595 note 72 100;
619 note 72 0;
730 note 74 100;
782 note 72 100;
783 note 74 0;
828 note 70 100;
833 note 72 0;
892 note 70 0;
921 note 71 100;
966 note 71 0;
999 note 68 100;
1046 note 68 0;
1050 note 69 100;
1083 note 69 0;
1128 note 66 100;
1163 note 66 0;
1163 note 67 100;
1207 note 67 0;
1259 note 65 100;
1309 note 65 0;
1358 note 68 100;
1397 note 68 0;
1443 note 70 100;
1501 note 70 0;
1538 note 69 100;
1580 note 69 0;
1594 note 65 100;
1607 note 65 0;
1616 note 72 100;
1679 note 72 0;
1712 note 71 100;
1765 note 71 0;
1802 note 74 100;
1855 note 74 0;
1891 note 72 100;
1960 note 72 0;
1984 note 75 100;
2035 note 75 0;
2079 note 74 100;
2126 note 74 0;
2133 note 77 100;
2250 note 77 0;
2259 note 75 100;
2332 note 75 0;
2344 note 74 100;
2415 note 74 0;
2443 note 73 100;
2498 note 75 100;
2502 note 73 0;
2617 note 75 0;
2624 note 74 100;
2686 note 74 0;
2715 note 73 100;
2767 note 73 0;
2800 note 72 100;
2855 note 72 0;
2883 note 74 100;
2943 note 70 100;
2944 note 74 0;
2970 note 70 0;
2987 note 69 100;
3024 note 69 0;
3052 note 72 100;
3114 note 72 0;
3121 note 68 100;
3146 note 68 0;
3169 note 67 100;
3201 note 67 0;
3243 note 70 100;
3305 note 70 0;
3657 note 66 100;
3684 note 66 0;
3697 note 67 100;
3727 note 67 0;
3731 note 70 100;
3747 note 72 100;
3753 note 70 0;
3775 note 72 0;
3778 note 74 100;
3817 note 74 0;
3843 note 73 100;
3870 note 73 0;
3885 note 72 100;
3923 note 72 0;
3930 note 70 100;
3971 note 70 0;
3973 note 72 100;
4015 note 72 0;
4020 note 71 100;
4048 note 71 0;
4057 note 73 100;
4092 note 73 0;
4110 note 74 100;
4135 note 74 0;
4152 note 75 100;
4188 note 75 0;
4205 note 76 100;
4225 note 76 0;
4239 note 77 100;
4278 note 77 0;
4279 note 77 100;
4280 note 77 0;
4290 note 73 100;
4302 note 73 0;
4327 note 77 100;
4377 note 77 0;
4420 note 78 100;
4473 note 78 0;
4504 note 79 100;
4552 note 79 0;
4561 note 77 100;
4599 note 77 0;
4606 note 75 100;
4651 note 74 100;
4659 note 75 0;
4689 note 76 100;
4690 note 74 0;
4738 note 76 0;
4772 note 77 100;
4827 note 77 0;
4871 note 74 100;
4923 note 74 0;
4927 note 75 100;
4962 note 75 0;
4971 note 72 100;
5034 note 72 0;
5054 note 75 100;
5118 note 75 0;
5284 note 75 100;
5376 note 75 0;
5406 note 73 100;
5467 note 73 0;
5469 note 74 100;
5555 note 74 0;
5579 note 74 100;
5665 note 74 0;
5679 note 75 100;
5734 note 77 100;
5738 note 75 0;
5863 note 77 0;
5914 note 74 100;
5943 note 73 100;
5958 note 74 0;
5997 note 73 0;
5999 note 74 100;
6047 note 74 0;
6118 note 74 100;
6179 note 74 0;
6180 note 73 100;
6201 note 73 0;
6209 note 74 100;
6265 note 74 0;
6309 note 74 100;
6365 note 73 100;
6370 note 74 0;
6398 note 74 100;
6399 note 73 0;
6457 note 74 0;
6485 note 74 100;
6541 note 73 100;
6562 note 74 0;
6564 note 73 0;
6577 note 78 100;
6626 note 78 0;
6635 note 73 100;
6649 note 73 0;
6660 note 79 100;
6717 note 79 0;
6723 note 73 100;
6733 note 73 0;
6750 note 80 100;
6805 note 80 0;
6835 note 81 100;
6892 note 81 0;
6898 note 80 100;
6934 note 77 100;
6938 note 80 0;
6976 note 77 0;
6989 note 75 100;
7015 note 75 0;
7033 note 73 100;
7071 note 73 0;
7087 note 72 100;
7124 note 72 0;
