0 length 12186;
0 note 60 100;
299 note 60 0;
362 note 63 100;
678 note 63 0;
713 note 65 100;
1035 note 65 0;
1086 note 67 100;
1267 note 67 0;
1448 note 70 100;
1794 note 70 0;
1813 note 67 100;
2169 note 72 100;
2171 note 67 0;
2351 note 70 100;
2381 note 72 0;
2521 note 65 100;
2522 note 70 0;
2688 note 65 0;
2692 note 70 100;
2884 note 67 100;
2885 note 70 0;
3243 note 67 0;
3245 note 70 100;
3412 note 70 0;
3426 note 65 100;
3591 note 65 0;
3593 note 72 100;
3774 note 70 100;
3790 note 72 0;
3961 note 70 0;
3973 note 67 100;
4134 note 67 0;
4150 note 75 100;
4325 note 75 0;
4345 note 74 100;
4622 note 74 0;
5220 note 75 100;
5389 note 74 100;
5407 note 75 0;
5569 note 72 100;
5569 note 74 0;
5754 note 71 100;
5765 note 72 0;
5927 note 71 0;
5933 note 72 100;
6109 note 72 0;
6110 note 75 100;
6298 note 72 100;
6299 note 75 0;
6474 note 72 0;
6475 note 74 100;
6634 note 74 0;
6639 note 70 100;
6828 note 72 100;
6853 note 70 0;
7011 note 69 100;
7034 note 72 0;
7189 note 69 0;
7189 note 70 100;
7380 note 68 100;
7388 note 70 0;
7558 note 67 100;
7572 note 68 0;
7742 note 65 100;
7749 note 67 0;
7857 note 65 0;
7937 note 63 100;
8073 note 63 0;
8117 note 64 100;
8266 note 64 0;
8281 note 65 100;
8464 note 63 100;
8470 note 65 0;
8648 note 62 100;
8662 note 63 0;
8833 note 61 100;
8840 note 62 0;
9040 note 61 0;
9041 note 62 100;
9206 note 63 100;
9216 note 62 0;
9364 note 65 100;
9384 note 63 0;
9530 note 65 0;
9535 note 63 100;
9713 note 67 100;
9717 note 63 0;
9882 note 63 100;
9889 note 67 0;
10069 note 68 100;
10098 note 63 0;
10228 note 68 0;
10236 note 63 100;
10427 note 67 100;
10443 note 63 0;
10607 note 63 100;
10612 note 67 0;
10799 note 65 100;
10810 note 63 0;
10979 note 63 100;
10980 note 65 0;
11161 note 60 100;
11176 note 63 0;
11359 note 71 100;
11369 note 60 0;
11619 note 72 100;
11675 note 71 0;
11746 note 72 0;
