0 length 11492;
0 note 72 100;
121 note 72 0;
341 note 72 100;
487 note 72 0;
731 note 72 100;
830 note 72 0;
962 note 72 100;
1101 note 72 0;
1217 note 71 100;
1313 note 72 100;
1317 note 71 0;
1406 note 72 0;
1504 note 74 100;
1762 note 74 0;
2523 note 67 100;
2697 note 67 0;
2892 note 74 100;
3065 note 74 0;
3167 note 74 100;
3322 note 74 0;
3435 note 74 100;
3502 note 74 0;
3620 note 72 100;
3677 note 74 100;
3699 note 72 0;
3770 note 74 0;
3881 note 74 100;
4111 note 74 0;
4143 note 72 100;
4232 note 74 100;
4244 note 72 0;
4331 note 74 0;
4351 note 76 100;
4589 note 76 0;
5067 note 67 100;
5220 note 67 0;
5410 note 67 100;
5500 note 67 0;
5764 note 77 100;
5958 note 77 0;
6060 note 77 100;
6218 note 77 0;
6336 note 77 100;
6416 note 77 0;
6523 note 69 100;
6762 note 69 0;
6865 note 77 100;
7070 note 77 0;
7210 note 76 100;
7376 note 76 0;
7548 note 74 100;
7770 note 74 0;
7900 note 72 100;
8075 note 72 0;
8182 note 74 100;
8243 note 76 100;
8278 note 74 0;
8534 note 76 0;
8657 note 74 100;
9112 note 74 0;
9201 note 72 100;
9272 note 72 0;
9355 note 71 100;
9430 note 71 0;
9577 note 67 100;
9679 note 67 0;
9688 note 69 100;
9800 note 69 0;
9902 note 67 100;
9987 note 67 0;
9988 note 71 100;
10089 note 72 100;
10104 note 71 0;
10393 note 72 0;
