0 length 11457;
0 note 62 100;
147 note 67 100;
153 note 62 0;
220 note 67 0;
329 note 71 100;
416 note 71 0;
486 note 67 100;
545 note 67 0;
588 note 62 100;
645 note 62 0;
776 note 62 100;
837 note 62 0;
875 note 67 100;
927 note 67 0;
1059 note 71 100;
1134 note 71 0;
1208 note 67 100;
1269 note 67 0;
1386 note 62 100;
1459 note 62 0;
1582 note 67 100;
1626 note 67 0;
1765 note 71 100;
1835 note 71 0;
1932 note 67 100;
1980 note 67 0;
2033 note 62 100;
2115 note 62 0;
2261 note 62 100;
2342 note 62 0;
2487 note 67 100;
2527 note 67 0;
2626 note 62 100;
2703 note 62 0;
2724 note 67 100;
2765 note 67 0;
2846 note 62 100;
2978 note 62 0;
3046 note 67 100;
3116 note 67 0;
3219 note 71 100;
3287 note 71 0;
3362 note 67 100;
3417 note 67 0;
3478 note 62 100;
3541 note 62 0;
3662 note 62 100;
3737 note 62 0;
3747 note 67 100;
3822 note 67 0;
3931 note 71 100;
4015 note 71 0;
4093 note 67 100;
4164 note 67 0;
4205 note 62 100;
4273 note 62 0;
4308 note 62 100;
4415 note 62 0;
4475 note 62 100;
4561 note 62 0;
4641 note 67 100;
4719 note 67 0;
4868 note 62 100;
4941 note 62 0;
4964 note 67 100;
5010 note 67 0;
5125 note 62 100;
5208 note 67 100;
5209 note 62 0;
5275 note 67 0;
5369 note 67 100;
5421 note 67 0;
5439 note 62 100;
5537 note 62 0;
5546 note 67 100;
5619 note 67 0;
5642 note 62 100;
5721 note 62 0;
5747 note 67 100;
5866 note 67 0;
5936 note 67 100;
6000 note 67 0;
6102 note 71 100;
6186 note 71 0;
6272 note 67 100;
6345 note 67 0;
6368 note 62 100;
6446 note 62 0;
6528 note 62 100;
6602 note 62 0;
6630 note 67 100;
6693 note 67 0;
6719 note 62 100;
6772 note 62 0;
6814 note 71 100;
6884 note 71 0;
6925 note 67 100;
6996 note 67 0;
7044 note 62 100;
7104 note 62 0;
7202 note 62 100;
7332 note 62 0;
7378 note 67 100;
7458 note 67 0;
7534 note 71 100;
7667 note 71 0;
7719 note 67 100;
7782 note 67 0;
7822 note 62 100;
7903 note 62 0;
7982 note 62 100;
8070 note 62 0;
8071 note 67 100;
8142 note 67 0;
8246 note 71 100;
8328 note 71 0;
8418 note 67 100;
8491 note 67 0;
8605 note 62 100;
8794 note 62 0;
8811 note 67 100;
8874 note 67 0;
8983 note 71 100;
9041 note 71 0;
9114 note 67 100;
9156 note 67 0;
9216 note 62 100;
9292 note 62 0;
9417 note 62 100;
9495 note 62 0;
9507 note 67 100;
9573 note 67 0;
9698 note 71 100;
9758 note 71 0;
9866 note 67 100;
9918 note 67 0;
10039 note 62 100;
10123 note 62 0;
10235 note 67 100;
10285 note 67 0;
10413 note 71 100;
10487 note 71 0;
10673 note 67 100;
10750 note 67 0;
10899 note 67 100;
10974 note 67 0;
11122 note 71 100;
11198 note 71 0;
11301 note 67 100;
11364 note 67 0;
