0 length 5659;
0 note 63 101;
123 note 63 0;
247 note 70 100;
365 note 70 0;
434 note 72 100;
508 note 72 0;
609 note 73 100;
701 note 73 0;
784 note 72 100;
862 note 72 0;
966 note 70 100;
1042 note 70 0;
1135 note 75 100;
1212 note 75 0;
1324 note 63 100;
1473 note 63 0;
1613 note 70 100;
1690 note 70 0;
1880 note 72 100;
1941 note 72 0;
2050 note 75 100;
2117 note 75 0;
2587 note 78 100;
2668 note 78 0;
2781 note 63 100;
2926 note 63 0;
3027 note 70 100;
3113 note 70 0;
3299 note 72 100;
3382 note 72 0;
3491 note 73 100;
3565 note 73 0;
3667 note 72 100;
3739 note 72 0;
4009 note 75 100;
4079 note 75 0;
4215 note 63 100;
4338 note 63 0;
4482 note 70 100;
4568 note 70 0;
4737 note 72 100;
4814 note 72 0;
4919 note 70 100;
4978 note 70 0;
5101 note 66 100;
5179 note 66 0;
5299 note 67 100;
5359 note 67 0;
5479 note 70 100;
5531 note 70 0;
