0 length 13111;
214 note 74 100;
218 note 74 0;
472 note 67 100;
503 note 67 0;
2705 note 74 100;
2731 note 74 0;
2878 note 67 100;
2900 note 67 0;
3057 note 75 100;
3095 note 75 0;
5215 note 74 100;
5240 note 74 0;
5499 note 67 100;
5545 note 67 0;
5785 note 77 100;
5825 note 77 0;
7395 note 74 100;
7427 note 74 0;
7556 note 67 100;
7598 note 67 0;
7744 note 79 100;
7778 note 79 0;
7997 note 77 100;
8026 note 77 0;
9031 note 74 100;
9050 note 74 0;
9221 note 67 100;
9256 note 67 0;
9307 note 75 100;
9326 note 75 0;
9576 note 74 100;
9601 note 74 0;
9860 note 67 100;
9876 note 67 0;
11005 note 67 100;
11022 note 67 0;
11271 note 67 100;
11294 note 67 0;
11715 note 72 100;
11745 note 72 0;
