0 length 2938;
0 note 67 100;
26 note 67 0;
72 note 70 100;
102 note 70 0;
154 note 67 100;
177 note 67 0;
186 note 72 100;
260 note 72 0;
325 note 70 100;
356 note 70 0;
427 note 67 100;
456 note 67 0;
456 note 74 100;
557 note 74 0;
634 note 75 100;
692 note 74 100;
693 note 75 0;
723 note 74 0;
779 note 70 100;
812 note 70 0;
865 note 67 100;
873 note 67 0;
898 note 74 100;
955 note 74 0;
959 note 75 100;
990 note 75 0;
991 note 74 100;
1045 note 74 0;
1046 note 72 100;
1066 note 72 0;
1085 note 70 100;
1114 note 70 0;
1140 note 67 100;
1175 note 67 0;
1178 note 68 100;
1227 note 68 0;
1236 note 69 100;
1275 note 69 0;
1328 note 70 100;
1358 note 70 0;
1407 note 67 100;
1444 note 72 100;
1444 note 67 0;
1480 note 72 0;
1590 note 70 100;
1624 note 70 0;
1678 note 67 100;
1712 note 67 0;
1714 note 70 100;
1757 note 70 0;
1857 note 70 100;
1891 note 70 0;
1946 note 67 100;
1974 note 67 0;
1982 note 75 100;
2033 note 75 0;
2036 note 74 100;
2068 note 70 100;
2070 note 74 0;
2123 note 72 100;
2123 note 70 0;
2164 note 72 0;
2307 note 67 100;
2342 note 67 0;
2403 note 70 100;
2447 note 70 0;
2484 note 67 100;
2511 note 67 0;
2518 note 72 100;
2600 note 72 0;
2665 note 72 100;
2697 note 74 100;
2698 note 72 0;
2746 note 74 0;
2748 note 72 100;
2788 note 69 100;
2790 note 72 0;
2841 note 65 100;
2841 note 69 0;
2880 note 65 0;
