0 length 8655;
6 note 72 100;
61 note 72 0;
180 note 72 100;
229 note 72 0;
351 note 79 100;
391 note 79 0;
518 note 79 100;
557 note 79 0;
700 note 81 100;
735 note 81 0;
887 note 81 100;
928 note 81 0;
1071 note 79 100;
1300 note 79 0;
1449 note 77 100;
1488 note 77 0;
1621 note 77 100;
1659 note 77 0;
1796 note 76 100;
1840 note 76 0;
1974 note 76 100;
2021 note 76 0;
2163 note 74 100;
2210 note 74 0;
2340 note 74 100;
2386 note 74 0;
2508 note 72 100;
2553 note 72 0;
2874 note 79 100;
2902 note 79 0;
3060 note 79 100;
3091 note 79 0;
3249 note 77 100;
3281 note 77 0;
3418 note 77 100;
3452 note 77 0;
3599 note 76 100;
3633 note 76 0;
3770 note 76 100;
3809 note 76 0;
3961 note 74 100;
3993 note 74 0;
4326 note 79 100;
4349 note 79 0;
4509 note 79 100;
4537 note 79 0;
4691 note 77 100;
4723 note 77 0;
4868 note 77 100;
4898 note 77 0;
5051 note 76 100;
5081 note 76 0;
5223 note 76 100;
5260 note 76 0;
5404 note 74 100;
5435 note 74 0;
5770 note 72 100;
5811 note 72 0;
5943 note 72 100;
5974 note 72 0;
6129 note 79 100;
6162 note 79 0;
6304 note 79 100;
6341 note 79 0;
6497 note 81 100;
6528 note 81 0;
6673 note 81 100;
6709 note 81 0;
6849 note 79 100;
6882 note 79 0;
7209 note 77 100;
7254 note 77 0;
7377 note 77 100;
7419 note 77 0;
7574 note 76 100;
7612 note 76 0;
7757 note 76 100;
7795 note 76 0;
7947 note 74 100;
7984 note 74 0;
8124 note 74 100;
8171 note 74 0;
8307 note 72 100;
8345 note 72 0;
