0 length 11486;
0 note 72 101;
0 note 79 101;
0 note 75 101;
1286 note 79 0;
1331 note 72 0;
1400 note 71 100;
1420 note 78 100;
2745 note 78 0;
2782 note 75 0;
2802 note 71 0;
2845 note 77 100;
2861 note 73 100;
2872 note 73 0;
2893 note 72 100;
2963 note 70 100;
3010 note 72 0;
3109 note 74 100;
4094 note 74 0;
4176 note 70 0;
4269 note 75 100;
4281 note 72 100;
4281 note 77 0;
4360 note 79 100;
5276 note 75 0;
5280 note 75 100;
5286 note 75 0;
5356 note 75 100;
5637 note 79 0;
5642 note 75 0;
5660 note 72 0;
5742 note 79 100;
5748 note 72 100;
5755 note 75 100;
7078 note 79 0;
7113 note 72 0;
7181 note 71 100;
7192 note 78 100;
8468 note 78 0;
8480 note 75 0;
8481 note 71 0;
8610 note 70 100;
8614 note 77 100;
8629 note 74 100;
8969 note 74 0;
9047 note 74 100;
9262 note 74 0;
9334 note 75 100;
9927 note 77 0;
9940 note 70 0;
10048 note 79 100;
10079 note 72 100;
11422 note 75 0;
11453 note 79 0;
11455 note 72 0;
