0 length 11489;
7 note 72 100;
48 note 72 0;
898 note 75 100;
923 note 75 0;
1173 note 77 100;
1214 note 77 0;
1460 note 79 100;
1485 note 79 0;
2328 note 80 100;
2367 note 80 0;
2513 note 79 100;
2551 note 79 0;
2671 note 77 100;
2702 note 77 0;
2867 note 79 100;
2921 note 79 0;
3138 note 77 100;
3178 note 77 0;
4341 note 77 100;
4401 note 77 0;
4611 note 75 100;
4642 note 75 0;
4866 note 77 100;
4909 note 77 0;
5594 note 74 100;
5631 note 74 0;
5772 note 72 100;
5824 note 72 0;
6668 note 72 100;
6718 note 72 0;
6848 note 67 100;
6897 note 67 0;
7011 note 70 100;
7055 note 70 0;
7197 note 72 100;
7246 note 72 0;
8128 note 75 100;
8163 note 75 0;
8299 note 74 100;
8335 note 74 0;
8462 note 72 100;
8518 note 72 0;
8650 note 68 100;
8703 note 68 0;
8948 note 80 100;
8999 note 80 0;
9208 note 79 100;
9260 note 79 0;
9433 note 67 100;
9480 note 67 0;
9690 note 65 100;
9749 note 65 0;
9922 note 67 100;
9974 note 67 0;
10089 note 72 100;
10146 note 72 0;
10632 note 60 100;
10656 note 60 0;
10794 note 60 100;
10854 note 60 0;
