0 length 7898;
0 note 68 100;
28 note 68 0;
141 note 71 100;
219 note 71 0;
244 note 68 100;
314 note 68 0;
407 note 68 100;
472 note 68 0;
505 note 71 100;
575 note 71 0;
664 note 68 100;
735 note 68 0;
844 note 71 100;
915 note 71 0;
941 note 68 100;
1010 note 68 0;
1165 note 71 100;
1241 note 71 0;
1424 note 68 100;
1509 note 68 0;
1579 note 71 100;
1650 note 71 0;
1676 note 68 100;
1743 note 68 0;
1840 note 68 100;
1894 note 68 0;
1944 note 71 100;
2013 note 71 0;
2122 note 68 100;
2196 note 68 0;
2290 note 71 100;
2363 note 71 0;
2466 note 68 100;
2536 note 68 0;
2664 note 71 100;
2730 note 71 0;
2762 note 68 100;
2839 note 68 0;
2925 note 68 100;
2992 note 68 0;
3041 note 71 100;
3115 note 71 0;
3215 note 68 100;
3286 note 68 0;
3369 note 71 100;
3433 note 71 0;
3479 note 68 100;
3551 note 68 0;
3637 note 68 100;
3710 note 68 0;
3763 note 71 100;
3834 note 71 0;
3924 note 68 100;
3995 note 68 0;
4102 note 71 100;
4170 note 71 0;
4206 note 68 100;
4280 note 68 0;
4351 note 68 100;
4424 note 68 0;
4455 note 71 100;
4522 note 71 0;
4633 note 68 100;
4705 note 68 0;
4806 note 71 100;
4877 note 71 0;
4924 note 68 100;
4995 note 68 0;
5085 note 68 100;
5159 note 68 0;
5201 note 71 100;
5270 note 71 0;
5368 note 68 100;
5442 note 68 0;
5547 note 71 100;
5617 note 71 0;
5647 note 68 100;
5719 note 68 0;
5806 note 68 100;
5877 note 68 0;
5930 note 71 100;
6002 note 71 0;
6089 note 68 100;
6166 note 68 0;
6268 note 71 100;
6338 note 71 0;
6445 note 68 100;
6511 note 68 0;
6642 note 71 100;
6707 note 71 0;
6736 note 68 100;
6808 note 68 0;
6898 note 68 100;
6967 note 68 0;
7010 note 71 100;
7081 note 71 0;
7164 note 68 100;
7238 note 68 0;
7331 note 71 100;
7400 note 71 0;
7427 note 68 100;
7480 note 68 0;
