0 length 11464;
0 note 72 101;
0 note 60 101;
0 note 63 101;
0 note 67 101;
780 note 72 0;
1030 note 72 100;
1176 note 72 0;
1409 note 70 100;
2785 note 70 0;
2826 note 72 100;
4239 note 72 0;
4264 note 70 100;
5563 note 67 0;
5638 note 70 0;
5662 note 63 0;
5677 note 60 0;
5724 note 60 100;
5734 note 65 100;
5735 note 67 100;
5806 note 63 100;
7157 note 67 0;
7158 note 70 100;
8457 note 65 0;
8563 note 70 0;
8570 note 67 100;
8581 note 72 100;
11156 note 72 0;
11157 note 72 100;
11163 note 60 0;
11173 note 72 0;
11382 note 67 0;
11399 note 63 0;
