0 length 26496;
0 note 77 100;
75 note 77 0;
103 note 75 100;
201 note 75 0;
210 note 72 100;
263 note 72 0;
322 note 63 100;
599 note 67 100;
601 note 63 0;
831 note 67 0;
867 note 72 100;
872 note 64 100;
1200 note 64 0;
1204 note 72 0;
1702 note 76 100;
1703 note 79 100;
1708 note 65 100;
1719 note 69 100;
1721 note 67 100;
1763 note 67 0;
1810 note 69 0;
1811 note 76 0;
1818 note 79 0;
1818 note 65 0;
1872 note 65 100;
1875 note 69 100;
1877 note 76 100;
1878 note 79 100;
2001 note 65 0;
2010 note 79 0;
2048 note 69 0;
2049 note 76 0;
2127 note 76 100;
2128 note 83 100;
2129 note 66 100;
2135 note 69 100;
2277 note 83 0;
2288 note 76 0;
2290 note 69 0;
2295 note 66 0;
2889 note 83 100;
2973 note 80 100;
2985 note 83 0;
3067 note 76 100;
3073 note 80 0;
3151 note 76 0;
3174 note 67 100;
3274 note 63 100;
3295 note 67 0;
3433 note 60 100;
3454 note 63 0;
3612 note 76 100;
3618 note 60 0;
3697 note 83 100;
3703 note 76 0;
4072 note 83 0;
4680 note 82 100;
4686 note 80 100;
4719 note 82 0;
4731 note 78 100;
4773 note 80 0;
4830 note 78 0;
5031 note 75 100;
5069 note 73 100;
5106 note 75 0;
5140 note 73 0;
5156 note 70 100;
5207 note 68 100;
5255 note 70 0;
5268 note 66 100;
5304 note 68 0;
5521 note 66 0;
5618 note 74 100;
5671 note 76 100;
5679 note 74 0;
5723 note 77 100;
5730 note 76 0;
5771 note 77 0;
5773 note 74 100;
5824 note 71 100;
5832 note 74 0;
5898 note 69 100;
5963 note 71 0;
6241 note 69 0;
6617 note 75 100;
6660 note 75 0;
6674 note 76 100;
6807 note 76 0;
6814 note 67 100;
7092 note 67 0;
7096 note 63 100;
7183 note 65 100;
7184 note 72 100;
7189 note 63 0;
7224 note 72 0;
7257 note 65 0;
7279 note 75 100;
7345 note 72 100;
7353 note 75 0;
7405 note 72 0;
7420 note 66 100;
7529 note 66 0;
7548 note 69 100;
7555 note 67 100;
7580 note 67 0;
7826 note 69 0;
7828 note 72 100;
7977 note 72 0;
8238 note 64 100;
8385 note 64 0;
8418 note 81 100;
8491 note 81 0;
8503 note 78 100;
8594 note 74 100;
8596 note 78 0;
8648 note 74 0;
8684 note 60 100;
8777 note 60 0;
8809 note 69 100;
8957 note 69 0;
8993 note 71 100;
9151 note 71 0;
9191 note 63 100;
9279 note 77 100;
9321 note 63 0;
9492 note 77 0;
9494 note 72 100;
9637 note 72 0;
9722 note 66 100;
9812 note 72 100;
9850 note 66 0;
9877 note 72 0;
9906 note 75 100;
9958 note 75 0;
9988 note 77 100;
10031 note 77 0;
10084 note 81 100;
10266 note 81 0;
10635 note 79 100;
10651 note 79 0;
10719 note 76 100;
10767 note 76 0;
10821 note 74 100;
10863 note 74 0;
10907 note 72 100;
10949 note 72 0;
10996 note 67 100;
11178 note 67 0;
11210 note 65 100;
11502 note 65 0;
11544 note 69 100;
11598 note 69 0;
11609 note 72 100;
11656 note 72 0;
11709 note 75 100;
11750 note 75 0;
11804 note 77 100;
11858 note 77 0;
11901 note 74 100;
12083 note 67 100;
12084 note 74 0;
12359 note 67 0;
12804 note 82 100;
12866 note 82 0;
12882 note 80 100;
12941 note 80 0;
13003 note 75 100;
13037 note 75 0;
13092 note 73 100;
13133 note 73 0;
13238 note 70 100;
13296 note 70 0;
13381 note 68 100;
13382 note 66 100;
13463 note 68 0;
13624 note 66 0;
14231 note 77 100;
14239 note 79 100;
14353 note 77 0;
14543 note 79 0;
14561 note 75 100;
14671 note 72 100;
14672 note 75 0;
14806 note 72 0;
14865 note 79 100;
14879 note 75 100;
15176 note 75 0;
15177 note 79 0;
15919 note 83 100;
15923 note 77 100;
15954 note 77 0;
16073 note 83 0;
16203 note 77 100;
16264 note 77 0;
16272 note 81 100;
16508 note 81 0;
16624 note 79 100;
16696 note 79 0;
16706 note 81 100;
16784 note 76 100;
16799 note 81 0;
16840 note 76 0;
16896 note 74 100;
16897 note 76 100;
16928 note 76 0;
16948 note 74 0;
17125 note 74 100;
17203 note 74 0;
17362 note 72 100;
17427 note 72 0;
17439 note 77 100;
17529 note 77 0;
17539 note 76 100;
17610 note 76 0;
17615 note 72 100;
17665 note 72 0;
17730 note 69 100;
17955 note 69 0;
18701 note 72 100;
18815 note 72 0;
18877 note 70 100;
18954 note 70 0;
18966 note 67 100;
19015 note 67 0;
19156 note 64 100;
19297 note 64 0;
19486 note 64 100;
19506 note 68 100;
19559 note 64 0;
19630 note 68 0;
19722 note 71 100;
19813 note 71 0;
19933 note 67 100;
20009 note 67 0;
20015 note 72 100;
20095 note 72 0;
20952 note 82 100;
20993 note 80 100;
21014 note 82 0;
21026 note 78 100;
21066 note 80 0;
21099 note 78 0;
21192 note 75 100;
21220 note 73 100;
21237 note 75 0;
21301 note 73 0;
21389 note 70 100;
21415 note 68 100;
21443 note 70 0;
21459 note 66 100;
21491 note 68 0;
21534 note 66 0;
21637 note 63 100;
21696 note 61 100;
21721 note 63 0;
21847 note 61 0;
22340 note 67 100;
22404 note 67 0;
22430 note 69 100;
22492 note 69 0;
22523 note 71 100;
22582 note 71 0;
22613 note 72 100;
22705 note 72 0;
22711 note 71 100;
22830 note 71 0;
22872 note 69 100;
23032 note 69 0;
23535 note 82 100;
23563 note 80 100;
23596 note 78 100;
23599 note 82 0;
23630 note 80 0;
23663 note 78 0;
23756 note 75 100;
23772 note 73 100;
23835 note 75 0;
23869 note 73 0;
23949 note 70 100;
23982 note 68 100;
24014 note 70 0;
24019 note 66 100;
24052 note 68 0;
24078 note 66 0;
24181 note 63 100;
24226 note 61 100;
24256 note 63 0;
24305 note 61 0;
24684 note 72 100;
24717 note 74 100;
24725 note 72 0;
24776 note 76 100;
24781 note 74 0;
24852 note 76 0;
24866 note 81 100;
24965 note 81 0;
24968 note 79 100;
25046 note 79 0;
25136 note 77 100;
25212 note 77 0;
25233 note 81 100;
25597 note 81 0;
