0 length 14021;
0 note 61 101;
3 note 61 0;
147 note 70 100;
237 note 70 0;
357 note 66 100;
421 note 66 0;
506 note 74 100;
583 note 74 0;
1076 note 67 100;
1137 note 67 0;
1175 note 79 100;
1292 note 79 0;
1335 note 77 100;
1433 note 77 0;
1497 note 69 100;
1553 note 69 0;
1704 note 74 100;
1768 note 74 0;
1896 note 65 100;
1949 note 65 0;
2027 note 74 100;
2109 note 74 0;
2292 note 77 100;
2304 note 74 100;
2354 note 74 0;
2392 note 77 0;
2570 note 79 100;
2577 note 74 100;
2639 note 74 0;
2648 note 79 0;
2760 note 72 100;
2820 note 72 0;
2917 note 62 100;
2995 note 62 0;
3086 note 71 100;
3088 note 74 100;
3151 note 71 0;
3167 note 74 0;
3539 note 71 100;
3540 note 74 100;
3638 note 71 0;
3651 note 74 0;
4065 note 74 100;
4072 note 77 100;
4111 note 74 0;
4112 note 77 0;
4230 note 74 100;
4238 note 77 100;
4316 note 74 0;
4322 note 77 0;
4569 note 76 100;
4575 note 72 100;
4649 note 76 0;
4656 note 72 0;
4761 note 72 100;
4850 note 72 0;
4936 note 63 100;
5002 note 63 0;
5067 note 69 100;
5146 note 69 0;
5713 note 75 100;
5802 note 72 100;
5819 note 75 0;
5905 note 72 0;
5928 note 65 100;
6019 note 65 0;
6022 note 63 100;
6106 note 62 100;
6126 note 63 0;
6184 note 62 0;
6276 note 77 100;
6387 note 77 0;
7097 note 77 100;
7181 note 75 100;
7185 note 77 0;
7271 note 72 100;
7277 note 75 0;
7319 note 72 0;
7350 note 67 100;
7436 note 63 100;
7437 note 67 0;
7520 note 65 100;
7537 note 63 0;
7597 note 65 0;
7638 note 67 100;
7728 note 67 0;
8258 note 80 100;
8336 note 80 0;
8560 note 69 100;
8725 note 69 0;
8814 note 77 100;
8900 note 77 0;
9146 note 65 100;
9248 note 65 0;
9404 note 72 100;
9514 note 72 0;
9590 note 77 100;
9680 note 75 100;
9681 note 77 0;
9751 note 75 0;
9792 note 63 100;
9886 note 63 0;
9991 note 70 100;
10073 note 70 0;
10193 note 66 100;
10291 note 66 0;
10357 note 61 100;
10435 note 61 0;
10500 note 78 100;
10617 note 78 0;
10618 note 82 100;
10719 note 80 100;
10723 note 82 0;
10776 note 80 0;
10824 note 69 100;
10904 note 69 0;
11039 note 74 100;
11108 note 74 0;
11145 note 67 100;
11203 note 67 0;
11227 note 75 100;
11326 note 75 0;
11465 note 66 100;
11547 note 66 0;
11685 note 79 100;
11750 note 79 0;
11942 note 81 100;
11953 note 64 100;
12241 note 64 0;
12242 note 81 0;
12532 note 77 100;
12538 note 67 100;
12605 note 77 0;
12609 note 67 0;
12697 note 76 100;
12743 note 66 100;
12870 note 76 0;
12871 note 66 0;
13040 note 74 100;
13132 note 71 100;
13167 note 74 0;
13215 note 71 0;
13370 note 72 100;
13442 note 72 0;
